Year,GeoCode,Value
2000,,10.5
2001,,10.7
2002,,11.1
2003,,11.2
2004,,11.9
2005,,11.0
2006,,10.9
2007,,11.1
2008,,14.6
2009,,14.7
2010,,14.5
2011,,14.9
2012,,14.5
2013,,14.3
2014,,14.0
2015,,12.7
2016,,12.3
1999-2001,,0.0
2002-04,,0.0
2005-07,,0.0
2008-10,,0.0
2011-13,,0.0
2014-16,,0.0
2000,0400000US01,0.0
2001,0400000US01,0.0
2002,0400000US01,0.0
2003,0400000US01,0.0
2004,0400000US01,0.0
2005,0400000US01,0.0
2006,0400000US01,0.0
2007,0400000US01,0.0
2008,0400000US01,0.0
2009,0400000US01,0.0
2010,0400000US01,0.0
2011,0400000US01,0.0
2012,0400000US01,0.0
2013,0400000US01,0.0
2014,0400000US01,0.0
2015,0400000US01,0.0
2016,0400000US01,0.0
1999-2001,0400000US01,11.9
2002-04,0400000US01,12.2
2005-07,0400000US01,11.9
2008-10,0400000US01,17.3
2011-13,0400000US01,16.7
2014-16,0400000US01,18.1
2000,0400000US34,0.0
2001,0400000US34,0.0
2002,0400000US34,0.0
2003,0400000US34,0.0
2004,0400000US34,0.0
2005,0400000US34,0.0
2006,0400000US34,0.0
2007,0400000US34,0.0
2008,0400000US34,0.0
2009,0400000US34,0.0
2010,0400000US34,0.0
2011,0400000US34,0.0
2012,0400000US34,0.0
2013,0400000US34,0.0
2014,0400000US34,0.0
2015,0400000US34,0.0
2016,0400000US34,0.0
1999-2001,0400000US34,7.8
2002-04,0400000US34,8.5
2005-07,0400000US34,8.8
2008-10,0400000US34,12.1
2011-13,0400000US34,11.4
2014-16,0400000US34,11.1
2000,0400000US11,0.0
2001,0400000US11,0.0
2002,0400000US11,0.0
2003,0400000US11,0.0
2004,0400000US11,0.0
2005,0400000US11,0.0
2006,0400000US11,0.0
2007,0400000US11,0.0
2008,0400000US11,0.0
2009,0400000US11,0.0
2010,0400000US11,0.0
2011,0400000US11,0.0
2012,0400000US11,0.0
2013,0400000US11,0.0
2014,0400000US11,0.0
2015,0400000US11,0.0
2016,0400000US11,0.0
1999-2001,0400000US11,9.8
2002-04,0400000US11,10.2
2005-07,0400000US11,11.9
2008-10,0400000US11,13.0
2011-13,0400000US11,13.4
2014-16,0400000US11,11.4
2000,0400000US28,0.0
2001,0400000US28,0.0
2002,0400000US28,0.0
2003,0400000US28,0.0
2004,0400000US28,0.0
2005,0400000US28,0.0
2006,0400000US28,0.0
2007,0400000US28,0.0
2008,0400000US28,0.0
2009,0400000US28,0.0
2010,0400000US28,0.0
2011,0400000US28,0.0
2012,0400000US28,0.0
2013,0400000US28,0.0
2014,0400000US28,0.0
2015,0400000US28,0.0
2016,0400000US28,0.0
1999-2001,0400000US28,13.1
2002-04,0400000US28,15.8
2005-07,0400000US28,17.4
2008-10,0400000US28,19.4
2011-13,0400000US28,21.1
2014-16,0400000US28,18.7
2000,0400000US47,0.0
2001,0400000US47,0.0
2002,0400000US47,0.0
2003,0400000US47,0.0
2004,0400000US47,0.0
2005,0400000US47,0.0
2006,0400000US47,0.0
2007,0400000US47,0.0
2008,0400000US47,0.0
2009,0400000US47,0.0
2010,0400000US47,0.0
2011,0400000US47,0.0
2012,0400000US47,0.0
2013,0400000US47,0.0
2014,0400000US47,0.0
2015,0400000US47,0.0
2016,0400000US47,0.0
1999-2001,0400000US47,11.8
2002-04,0400000US47,11.5
2005-07,0400000US47,12.8
2008-10,0400000US47,15.0
2011-13,0400000US47,17.4
2014-16,0400000US47,13.4
2000,0400000US05,0.0
2001,0400000US05,0.0
2002,0400000US05,0.0
2003,0400000US05,0.0
2004,0400000US05,0.0
2005,0400000US05,0.0
2006,0400000US05,0.0
2007,0400000US05,0.0
2008,0400000US05,0.0
2009,0400000US05,0.0
2010,0400000US05,0.0
2011,0400000US05,0.0
2012,0400000US05,0.0
2013,0400000US05,0.0
2014,0400000US05,0.0
2015,0400000US05,0.0
2016,0400000US05,0.0
1999-2001,0400000US05,12.8
2002-04,0400000US05,14.8
2005-07,0400000US05,14.4
2008-10,0400000US05,18.6
2011-13,0400000US05,21.2
2014-16,0400000US05,17.5
2000,0400000US55,0.0
2001,0400000US55,0.0
2002,0400000US55,0.0
2003,0400000US55,0.0
2004,0400000US55,0.0
2005,0400000US55,0.0
2006,0400000US55,0.0
2007,0400000US55,0.0
2008,0400000US55,0.0
2009,0400000US55,0.0
2010,0400000US55,0.0
2011,0400000US55,0.0
2012,0400000US55,0.0
