Year,Units,Value
2010,rmc (abiotic and biotic material) (mn t),1292
2011,rmc (abiotic and biotic material) (mn t),1377
2012,rmc (abiotic and biotic material) (mn t),1258
2013,rmc (abiotic and biotic material) (mn t),1274
2014,rmc (abiotic and biotic material) (mn t),1303
2010,rmc per capita (t per capita),15.8
2011,rmc per capita (t per capita),17.1
2012,rmc per capita (t per capita),15.6
2013,rmc per capita (t per capita),15.8
2014,rmc per capita (t per capita),16.0
2010,rmc per real gdp (2010 = 100),100.0
2011,rmc per real gdp (2010 = 100),102.8
2012,rmc per real gdp (2010 = 100),93.5
2013,rmc per real gdp (2010 = 100),94.2
2014,rmc per real gdp (2010 = 100),94.3
