Year,GeoCode,Value
2000,,11.3
2001,,11.7
2002,,12.1
2003,,12.5
2004,,12.7
2005,,12.6
2006,,12.3
2007,,12.5
2008,,13.2
2009,,14.3
2010,,15.1
2011,,15.0
2012,,15.0
2013,,14.8
2014,,14.8
2015,,13.5
2016,,12.7
2017,,0.0
2000,0400000US01,0.0
2001,0400000US01,0.0
2002,0400000US01,0.0
2003,0400000US01,0.0
2004,0400000US01,0.0
2005,0400000US01,17.03
2006,0400000US01,16.56
2007,0400000US01,16.86
2008,0400000US01,15.7
2009,0400000US01,17.54
2010,0400000US01,19.03
2011,0400000US01,19.04
2012,0400000US01,18.96
2013,0400000US01,18.73
2014,0400000US01,19.25
2015,0400000US01,18.5
2016,0400000US01,17.09
2017,0400000US01,0.0
2000,0400000US34,0.0
2001,0400000US34,0.0
2002,0400000US34,0.0
2003,0400000US34,0.0
2004,0400000US34,0.0
2005,0400000US34,8.69
2006,0400000US34,8.69
2007,0400000US34,8.57
2008,0400000US34,8.72
2009,0400000US34,9.37
2010,0400000US34,10.26
2011,0400000US34,10.38
2012,0400000US34,10.76
2013,0400000US34,11.45
2014,0400000US34,11.1
2015,0400000US34,10.77
2016,0400000US34,10.44
2017,0400000US34,0.0
2000,0400000US11,0.0
2001,0400000US11,0.0
2002,0400000US11,0.0
2003,0400000US11,0.0
2004,0400000US11,0.0
2005,0400000US11,19.02
2006,0400000US11,19.61
2007,0400000US11,16.43
2008,0400000US11,17.22
2009,0400000US11,18.4
2010,0400000US11,19.16
2011,0400000US11,18.71
2012,0400000US11,18.18
2013,0400000US11,18.89
2014,0400000US11,17.73
2015,0400000US11,17.32
2016,0400000US11,18.58
2017,0400000US11,0.0
2000,0400000US28,0.0
2001,0400000US28,0.0
2002,0400000US28,0.0
2003,0400000US28,0.0
2004,0400000US28,0.0
2005,0400000US28,21.34
2006,0400000US28,21.05
2007,0400000US28,20.61
2008,0400000US28,21.19
2009,0400000US28,21.92
2010,0400000US28,22.39
2011,0400000US28,22.55
2012,0400000US28,24.15
2013,0400000US28,24.05
2014,0400000US28,21.52
2015,0400000US28,22.0
2016,0400000US28,20.84
2017,0400000US28,0.0
2000,0400000US47,0.0
2001,0400000US47,0.0
2002,0400000US47,0.0
2003,0400000US47,0.0
2004,0400000US47,0.0
2005,0400000US47,15.55
2006,0400000US47,16.2
2007,0400000US47,15.91
2008,0400000US47,15.49
2009,0400000US47,17.13
2010,0400000US47,17.68
2011,0400000US47,18.29
2012,0400000US47,17.94
2013,0400000US47,17.79
2014,0400000US47,18.34
2015,0400000US47,16.74
2016,0400000US47,15.77
2017,0400000US47,0.0
2000,0400000US05,0.0
2001,0400000US05,0.0
2002,0400000US05,0.0
2003,0400000US05,0.0
2004,0400000US05,0.0
2005,0400000US05,17.17
2006,0400000US05,17.26
2007,0400000US05,17.87
2008,0400000US05,17.32
2009,0400000US05,18.79
2010,0400000US05,18.84
2011,0400000US05,19.46
2012,0400000US05,19.83
2013,0400000US05,19.68
2014,0400000US05,18.87
2015,0400000US05,19.07
2016,0400000US05,17.22
2017,0400000US05,0.0
2000,0400000US55,0.0
2001,0400000US55,0.0
2002,0400000US55,0.0
2003,0400000US55,0.0
2004,0400000US55,0.0
2005,0400000US55,10.19
2006,0400000US55,10.96
2007,0400000US55,10.8
2008,0400000US55,10.4
