Year,Units,timeseries,Value
2010,2016,"aid for trade commitments (oda and oof) (mn usd, constant prices",4218.3
2011,2016,"aid for trade commitments (oda and oof) (mn usd, constant prices",3409.1
2012,2016,"aid for trade commitments (oda and oof) (mn usd, constant prices",3369.6
2013,2016,"aid for trade commitments (oda and oof) (mn usd, constant prices",4459.6
2014,2016,"aid for trade commitments (oda and oof) (mn usd, constant prices",6709.1
2015,2016,"aid for trade commitments (oda and oof) (mn usd, constant prices",5788.5
2016,2016,"aid for trade commitments (oda and oof) (mn usd, constant prices",6042.9
2017,2016,"aid for trade commitments (oda and oof) (mn usd, constant prices",5503.4
2010,2016,"aid for trade gross disbursements (oda and oof) (mn usd, constant prices",3088.3
2011,2016,"aid for trade gross disbursements (oda and oof) (mn usd, constant prices",2835.5
2012,2016,"aid for trade gross disbursements (oda and oof) (mn usd, constant prices",2553.2
2013,2016,"aid for trade gross disbursements (oda and oof) (mn usd, constant prices",3197.4
2014,2016,"aid for trade gross disbursements (oda and oof) (mn usd, constant prices",4006.6
2015,2016,"aid for trade gross disbursements (oda and oof) (mn usd, constant prices",5161.9
2016,2016,"aid for trade gross disbursements (oda and oof) (mn usd, constant prices",4621.2
2017,2016,"aid for trade gross disbursements (oda and oof) (mn usd, constant prices",4369.0
