Year,GeoCode,Value
2000,,3.0
2001,,0.0
2002,,0.8
2003,,1.9
2004,,2.9
2005,,2.4
2006,,1.7
2007,,0.8
2008,,-1.2
2009,,-3.6
2010,,1.7
2011,,0.8
2012,,1.5
2013,,1.0
2014,,1.8
2015,,2.1
2016,,0.8
1998,,0.0
1999,,0.0
2000,0400000US01,0.5
2001,0400000US01,0.1
2002,0400000US01,2.3
2003,0400000US01,2.3
2004,0400000US01,5.3
2005,0400000US01,2.4
2006,0400000US01,0.4
2007,0400000US01,-0.6
2008,0400000US01,-1.5
2009,0400000US01,-4.3
2010,0400000US01,1.5
2011,0400000US01,0.8
2012,0400000US01,0.6
2013,0400000US01,0.6
2014,0400000US01,-0.6
2015,0400000US01,1.3
2016,0400000US01,1.3
1998,0400000US01,2.4
1999,0400000US01,2.9
2000,0400000US34,4.1
2001,0400000US34,0.6
2002,0400000US34,1.6
2003,0400000US34,1.9
2004,0400000US34,0.7
2005,0400000US34,0.9
2006,0400000US34,1.6
2007,0400000US34,0.3
2008,0400000US34,-0.1
2009,0400000US34,-4.7
2010,0400000US34,-0.1
2011,0400000US34,-1.3
2012,0400000US34,1.6
2013,0400000US34,1.1
2014,0400000US34,-0.1
2015,0400000US34,1.0
2016,0400000US34,0.6
1998,0400000US34,1.4
1999,0400000US34,2.4
2000,0400000US11,0.1
2001,0400000US11,4.3
2002,0400000US11,2.8
2003,0400000US11,2.6
2004,0400000US11,4.9
2005,0400000US11,1.9
2006,0400000US11,0.8
2007,0400000US11,2.0
2008,0400000US11,1.8
2009,0400000US11,-2.6
2010,0400000US11,1.1
2011,0400000US11,-0.7
2012,0400000US11,-2.2
2013,0400000US11,-2.3
2014,0400000US11,0.2
2015,0400000US11,0.1
2016,0400000US11,0.5
1998,0400000US11,2.0
1999,0400000US11,3.3
2000,0400000US28,-0.3
2001,0400000US28,-1.1
2002,0400000US28,0.7
2003,0400000US28,3.7
2004,0400000US28,1.2
2005,0400000US28,1.0
2006,0400000US28,2.3
2007,0400000US28,1.7
2008,0400000US28,3.4
2009,0400000US28,-4.4
2010,0400000US28,0.1
2011,0400000US28,-1.6
2012,0400000US28,2.0
2013,0400000US28,0.4
2014,0400000US28,-1.0
2015,0400000US28,0.3
2016,0400000US28,1.3
1998,0400000US28,1.6
1999,0400000US28,1.9
2000,0400000US47,-0.1
2001,0400000US47,-0.7
2002,0400000US47,2.3
2003,0400000US47,2.4
2004,0400000US47,3.2
2005,0400000US47,0.2
2006,0400000US47,0.7
2007,0400000US47,-2.4
2008,0400000US47,-0.5
2009,0400000US47,-4.5
2010,0400000US47,0.7
2011,0400000US47,2.1
2012,0400000US47,2.2
2013,0400000US47,1.0
2014,0400000US47,0.9
2015,0400000US47,2.2
2016,0400000US47,2.1
1998,0400000US47,3.6
1999,0400000US47,1.8
2000,0400000US05,-0.1
2001,0400000US05,-0.5
2002,0400000US05,2.6
2003,0400000US05,3.6
2004,0400000US05,3.7
2005,0400000US05,2.0
2006,0400000US05,0.4
2007,0400000US05,-1.7
2008,0400000US05,-0.7
2009,0400000US05,-3.2
2010,0400000US05,2.5
2011,0400000US05,1.4
2012,0400000US05,-0.5
2013,0400000US05,2.6
2014,0400000US05,1.1
2015,0400000US05,0.2
2016,0400000US05,0.5
1998,0400000US05,0.3
1999,0400000US05,4.5
2000,0400000US55,2.1
2001,0400000US55,0.4
2002,0400000US55,1.5
2003,0400000US55,2.0
2004,0400000US55,2.0
2005,0400000US55,1.5
2006,0400000US55,0.9
2007,0400000US55,-0.1
2008,0400000US55,-1.9
2009,0400000US55,-3.2
2010,0400000US55,2.1
2011,0400000US55,1.8
2012,0400000US55,1.1
2013,0400000US55,1.0
2014,0400000US55,1.3
2015,0400000US55,1.9
2016,0400000US55,1.1
1998,0400000US55,2.7
1999,0400000US55,3.4
2000,0400000US19,4.7
2001,0400000US19,-1.9
2002,0400000US19,2.8
2003,0400000US19,4.0
2004,0400000US19,7.1
2005,0400000US19,2.1
2006,0400000US19,0.8
2007,0400000US19,3.5
2008,0400000US19,-2.3
2009,0400000US19,-2.6
2010,0400000US19,1.5
2011,0400000US19,1.4
2012,0400000US19,3.2
2013,0400000US19,0.0
2014,0400000US19,3.3
2015,0400000US19,3.5
2016,0400000US19,1.2
1998,0400000US19,0.2
1999,0400000US19,1.6
2000,0400000US09,6.3
