Year,Units,timeseries,Value
2010,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",536.8
2011,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",1057.3
2012,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",896.1
2013,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",877.3
2014,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",1058.7
2015,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",1177.6
2016,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",1111.2
2017,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",1744.8
2010,2016,"a) oda (gross disbursements) to the forestry sector (mn usd, constant prices",59.1
2011,2016,"a) oda (gross disbursements) to the forestry sector (mn usd, constant prices",55.4
2012,2016,"a) oda (gross disbursements) to the forestry sector (mn usd, constant prices",91.4
2013,2016,"a) oda (gross disbursements) to the forestry sector (mn usd, constant prices",83.7
2014,2016,"a) oda (gross disbursements) to the forestry sector (mn usd, constant prices",70.1
2015,2016,"a) oda (gross disbursements) to the forestry sector (mn usd, constant prices",70.0
2016,2016,"a) oda (gross disbursements) to the forestry sector (mn usd, constant prices",66.4
2017,2016,"a) oda (gross disbursements) to the forestry sector (mn usd, constant prices",75.1
