Year,Units,timeseries,Value
2010,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",536.8
2011,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",1057.3
2012,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",896.1
2013,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",877.3
2014,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",1058.7
2015,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",1177.6
2016,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",1111.2
2017,2016,"a) oda (commitments) for biodiversity (mn usd, constant prices",1744.8
2010,mn eur,b) environmental protection expenditure,52116.0
2011,mn eur,b) environmental protection expenditure,54918.0
2012,mn eur,b) environmental protection expenditure,57022.0
2013,mn eur,b) environmental protection expenditure,58937.0
2014,mn eur,b) environmental protection expenditure,63220.0
2015,mn eur,b) environmental protection expenditure,64352.0
2016,mn eur,b) environmental protection expenditure,66222.0
