Year,Units,timeseries,Value
2010,,agricultureorientationindexforgovernmentexpenditures,0.69
2011,,agricultureorientationindexforgovernmentexpenditures,0.62
2012,,agricultureorientationindexforgovernmentexpenditures,0.67
2013,,agricultureorientationindexforgovernmentexpenditures,0.52
2014,,agricultureorientationindexforgovernmentexpenditures,0.55
2015,,agricultureorientationindexforgovernmentexpenditures,0.69
2016,,agricultureorientationindexforgovernmentexpenditures,0.68
2017,,agricultureorientationindexforgovernmentexpenditures,0.6
2018,,agricultureorientationindexforgovernmentexpenditures,0.66
