Year,GeoCode,Value
2005,0400000US72,38.6
2006,0400000US72,38.2
2007,0400000US72,46.2
2008,0400000US72,41.1
2009,0400000US72,46.8
2010,0400000US72,37.2
2011,0400000US72,43.2
2012,0400000US72,43.5
2013,0400000US72,47.5
2014,0400000US72,48.6
2015,0400000US72,48.7
2016,0400000US72,52.9
2017,0400000US72,0.0
2000,0400000US10,0.0
2001,0400000US10,0.0
2002,0400000US10,0.0
2003,0400000US10,0.0
2004,0400000US10,0.0
2005,0400000US10,35.2
2006,0400000US10,37.5
2007,0400000US10,43.1
2008,0400000US10,38.0
2009,0400000US10,39.2
2010,0400000US10,40.5
2011,0400000US10,37.6
2012,0400000US10,44.1
2013,0400000US10,43.0
2014,0400000US10,45.4
2015,0400000US10,42.5
2016,0400000US10,42.2
2017,0400000US10,0.0
2000,0400000US37,0.0
2001,0400000US37,0.0
2002,0400000US37,0.0
2003,0400000US37,0.0
2004,0400000US37,0.0
2005,0400000US37,34.2
2006,0400000US37,36.2
2007,0400000US37,35.0
2008,0400000US37,36.5
2009,0400000US37,38.1
2010,0400000US37,39.0
2011,0400000US37,37.6
2012,0400000US37,39.5
2013,0400000US37,38.8
2014,0400000US37,38.1
2015,0400000US37,39.4
2016,0400000US37,39.2
2017,0400000US37,0.0
2000,0400000US35,0.0
2001,0400000US35,0.0
2002,0400000US35,0.0
2003,0400000US35,0.0
2004,0400000US35,0.0
2005,0400000US35,41.3
2006,0400000US35,36.7
2007,0400000US35,40.0
2008,0400000US35,39.5
2009,0400000US35,39.6
2010,0400000US35,40.4
2011,0400000US35,39.9
2012,0400000US35,42.3
2013,0400000US35,40.4
2014,0400000US35,38.4
2015,0400000US35,41.7
2016,0400000US35,41.7
2017,0400000US35,0.0
2000,0400000US53,0.0
2001,0400000US53,0.0
2002,0400000US53,0.0
2003,0400000US53,0.0
2004,0400000US53,0.0
2005,0400000US53,34.5
2006,0400000US53,34.9
2007,0400000US53,36.4
2008,0400000US53,37.3
2009,0400000US53,37.7
2010,0400000US53,37.8
2011,0400000US53,37.6
2012,0400000US53,39.2
2013,0400000US53,38.5
2014,0400000US53,37.9
2015,0400000US53,39.6
2016,0400000US53,38.4
2017,0400000US53,0.0
2000,0400000US38,0.0
2001,0400000US38,0.0
2002,0400000US38,0.0
2003,0400000US38,0.0
2004,0400000US38,0.0
2005,0400000US38,27.7
2006,0400000US38,24.2
2007,0400000US38,23.6
2008,0400000US38,27.9
2009,0400000US38,29.9
2010,0400000US38,28.4
2011,0400000US38,29.6
2012,0400000US38,25.2
2013,0400000US38,26.6
2014,0400000US38,27.7
2015,0400000US38,29.2
2016,0400000US38,27.2
2017,0400000US38,0.0
2000,0400000US31,0.0
2001,0400000US31,0.0
2002,0400000US31,0.0
2003,0400000US31,0.0
2004,0400000US31,0.0
2005,0400000US31,29.8
2006,0400000US31,28.8
2007,0400000US31,29.5
2008,0400000US31,30.4
2009,0400000US31,32.4
2010,0400000US31,28.9
2011,0400000US31,31.8
2012,0400000US31,31.5
2013,0400000US31,32.1
2014,0400000US31,32.2
2015,0400000US31,32.9
2016,0400000US31,31.7
2017,0400000US31,0.0
2000,0400000US12,0.0
2001,0400000US12,0.0
2002,0400000US12,0.0
2003,0400000US12,0.0
2004,0400000US12,0.0
2005,0400000US12,34.7
2006,0400000US12,36.3
2007,0400000US12,36.4
2008,0400000US12,37.7
2009,0400000US12,38.4
2010,0400000US12,38.0
2011,0400000US12,39.0
2012,0400000US12,39.0
2013,0400000US12,38.6
2014,0400000US12,38.6
2015,0400000US12,39.5
2016,0400000US12,40.3
2017,0400000US12,0.0
2000,0400000US42,0.0
2001,0400000US42,0.0
2002,0400000US42,0.0
2003,0400000US42,0.0
2004,0400000US42,0.0
2005,0400000US42,33.5
2006,0400000US42,33.9
2007,0400000US42,34.5
2008,0400000US42,34.8
2009,0400000US42,35.8
2010,0400000US42,36.6
2011,0400000US42,37.1
2012,0400000US42,36.7
2013,0400000US42,36.5
2014,0400000US42,38.4
2015,0400000US42,38.4
2016,0400000US42,37.2
2017,0400000US42,0.0
2000,0400000US22,0.0
2001,0400000US22,0.0
2002,0400000US22,0.0
2003,0400000US22,0.0
2004,0400000US22,0.0
2005,0400000US22,37.1
2006,0400000US22,36.9
2007,0400000US22,35.3
2008,0400000US22,36.1
2009,0400000US22,38.0
2010,0400000US22,39.5
2011,0400000US22,39.7
2012,0400000US22,38.1
2013,0400000US22,37.4
2014,0400000US22,38.6
2015,0400000US22,44.1
2016,0400000US22,41.1
2017,0400000US22,0.0
2000,0400000US23,0.0
2001,0400000US23,0.0
2002,0400000US23,0.0
2003,0400000US23,0.0
2004,0400000US23,0.0
2005,0400000US23,39.8
2006,0400000US23,39.7
2007,0400000US23,36.2
2008,0400000US23,38.3
2009,0400000US23,44.1
2010,0400000US23,43.4
2011,0400000US23,42.4
2012,0400000US23,39.3
2013,0400000US23,41.3
2014,0400000US23,39.4
2015,0400000US23,42.9
2016,0400000US23,43.3
2017,0400000US23,0.0
2000,0400000US40,0.0
2001,0400000US40,0.0
2002,0400000US40,0.0
2003,0400000US40,0.0
2004,0400000US40,0.0
2005,0400000US40,35.2
2006,0400000US40,34.3
2007,0400000US40,35.7
2008,0400000US40,35.6
2009,0400000US40,34.9
2010,0400000US40,38.2
2011,0400000US40,35.7
2012,0400000US40,34.0
2013,0400000US40,36.8
2014,0400000US40,36.4
2015,0400000US40,34.1
2016,0400000US40,37.2
2017,0400000US40,0.0
2000,0400000US15,0.0
2001,0400000US15,0.0
2002,0400000US15,0.0
2003,0400000US15,0.0
2004,0400000US15,0.0
2005,0400000US15,36.1
2006,0400000US15,41.4
2007,0400000US15,39.8
2008,0400000US15,36.8
2009,0400000US15,40.7
2010,0400000US15,42.2
2011,0400000US15,42.2
2012,0400000US15,42.7
2013,0400000US15,38.1
2014,0400000US15,43.6
2015,0400000US15,42.8
2016,0400000US15,41.1
2017,0400000US15,0.0
2000,0400000US49,0.0
2001,0400000US49,0.0
2002,0400000US49,0.0
2003,0400000US49,0.0
2004,0400000US49,0.0
2005,0400000US49,27.5
2006,0400000US49,26.4
2007,0400000US49,27.5
2008,0400000US49,29.9
2009,0400000US49,27.9
2010,0400000US49,31.9
2011,0400000US49,27.2
2012,0400000US49,30.3
2013,0400000US49,28.7
2014,0400000US49,29.9
2015,0400000US49,32.7
2016,0400000US49,29.6
2017,0400000US49,0.0
2000,0400000US30,0.0
2001,0400000US30,0.0
2002,0400000US30,0.0
2003,0400000US30,0.0
2004,0400000US30,0.0
2005,0400000US30,28.4
2006,0400000US30,34.2
2007,0400000US30,32.7
2008,0400000US30,32.2
2009,0400000US30,33.6
2010,0400000US30,31.4
2011,0400000US30,32.1
2012,0400000US30,32.0
2013,0400000US30,34.1
2014,0400000US30,32.7
2015,0400000US30,36.6
2016,0400000US30,36.1
2017,0400000US30,0.0
2000,0400000US02,0.0
2001,0400000US02,0.0
2002,0400000US02,0.0
2003,0400000US02,0.0
2004,0400000US02,0.0
2005,0400000US02,41.0
2006,0400000US02,43.2
2007,0400000US02,44.4
2008,0400000US02,43.5
2009,0400000US02,49.9
2010,0400000US02,42.0
2011,0400000US02,38.6
2012,0400000US02,44.1
2013,0400000US02,38.6
2014,0400000US02,40.6
2015,0400000US02,39.0
2016,0400000US02,41.1
2017,0400000US02,0.0
2000,0400000US17,0.0
2001,0400000US17,0.0
2002,0400000US17,0.0
2003,0400000US17,0.0
2004,0400000US17,0.0
2005,0400000US17,33.3
2006,0400000US17,35.3
2007,0400000US17,34.1
2008,0400000US17,36.4
2009,0400000US17,37.6
2010,0400000US17,37.2
2011,0400000US17,37.7
2012,0400000US17,38.0
2013,0400000US17,37.2
2014,0400000US17,37.9
2015,0400000US17,37.8
2016,0400000US17,39.3
2017,0400000US17,0.0
2000,0400000US56,0.0
2001,0400000US56,0.0
2002,0400000US56,0.0
2003,0400000US56,0.0
2004,0400000US56,0.0
2005,0400000US56,31.9
2006,0400000US56,34.3
2007,0400000US56,29.0
2008,0400000US56,37.3
2009,0400000US56,31.8
2010,0400000US56,39.0
2011,0400000US56,34.7
2012,0400000US56,29.5
2013,0400000US56,35.9
2014,0400000US56,35.0
2015,0400000US56,38.5
2016,0400000US56,32.6
2017,0400000US56,0.0
2000,0400000US48,0.0
2001,0400000US48,0.0
2002,0400000US48,0.0
2003,0400000US48,0.0
2004,0400000US48,0.0
2005,0400000US48,33.2
2006,0400000US48,33.8
2007,0400000US48,33.9
