Year,GeoCode,Value
2000,,0.0
2001,,0.0
2002,,0.0
2003,,0.0
2004,,0.0
2005,,0.0
2006,,0.0
2007,,0.0
2008,,19.2
2009,,18.1
2010,,17.1
2011,,16.2
2012,,15.7
2013,,15.0
2014,,15.0
2015,,14.7
2016,,0.0
2017,,0.0
2000,0400000US02,0.0
2001,0400000US02,0.0
2002,0400000US02,0.0
2003,0400000US02,0.0
2004,0400000US02,0.0
2005,0400000US02,0.0
2006,0400000US02,0.0
2007,0400000US02,0.0
2008,0400000US02,6.8
2009,0400000US02,3.7
2010,0400000US02,6.1
2011,0400000US02,4.1
2012,0400000US02,4.7
2013,0400000US02,3.8
2014,0400000US02,6.3
2015,0400000US02,4.0
2016,0400000US02,6.1
2017,0400000US02,0.0
2000,0400000US33,0.0
2001,0400000US33,0.0
2002,0400000US33,0.0
2003,0400000US33,0.0
2004,0400000US33,0.0
2005,0400000US33,0.0
2006,0400000US33,0.0
2007,0400000US33,0.0
2008,0400000US33,3.9
2009,0400000US33,3.6
2010,0400000US33,4.5
2011,0400000US33,3.5
2012,0400000US33,4.2
2013,0400000US33,3.0
2014,0400000US33,3.6
2015,0400000US33,2.1
2016,0400000US33,3.6
2017,0400000US33,0.0
2000,0400000US56,0.0
2001,0400000US56,0.0
2002,0400000US56,0.0
2003,0400000US56,0.0
2004,0400000US56,0.0
2005,0400000US56,0.0
2006,0400000US56,0.0
2007,0400000US56,0.0
2008,0400000US56,5.2
2009,0400000US56,4.5
2010,0400000US56,4.1
2011,0400000US56,3.2
2012,0400000US56,1.5
2013,0400000US56,3.3
2014,0400000US56,2.1
2015,0400000US56,3.5
2016,0400000US56,4.1
2017,0400000US56,0.0
2000,0400000US29,0.0
2001,0400000US29,0.0
2002,0400000US29,0.0
2003,0400000US29,0.0
2004,0400000US29,0.0
2005,0400000US29,0.0
2006,0400000US29,0.0
2007,0400000US29,0.0
2008,0400000US29,11.1
2009,0400000US29,10.5
2010,0400000US29,11.5
2011,0400000US29,10.5
2012,0400000US29,10.5
2013,0400000US29,9.2
2014,0400000US29,9.2
2015,0400000US29,9.1
2016,0400000US29,10.0
2017,0400000US29,0.0
2000,0400000US06,0.0
2001,0400000US06,0.0
2002,0400000US06,0.0
2003,0400000US06,0.0
2004,0400000US06,0.0
2005,0400000US06,0.0
2006,0400000US06,0.0
2007,0400000US06,0.0
2008,0400000US06,19.2
2009,0400000US06,18.0
2010,0400000US06,17.1
2011,0400000US06,16.2
2012,0400000US06,16.1
2013,0400000US06,14.8
2014,0400000US06,16.0
2015,0400000US06,15.4
2016,0400000US06,15.2
2017,0400000US06,0.0
2000,0400000US48,0.0
2001,0400000US48,0.0
2002,0400000US48,0.0
2003,0400000US48,0.0
2004,0400000US48,0.0
2005,0400000US48,0.0
2006,0400000US48,0.0
2007,0400000US48,0.0
2008,0400000US48,21.6
2009,0400000US48,22.1
2010,0400000US48,22.0
2011,0400000US48,20.8
2012,0400000US48,20.6
2013,0400000US48,20.3
2014,0400000US48,20.3
2015,0400000US48,20.2
2016,0400000US48,19.8
2017,0400000US48,0.0
2000,0400000US21,0.0
2001,0400000US21,0.0
2002,0400000US21,0.0
2003,0400000US21,0.0
2004,0400000US21,0.0
2005,0400000US21,0.0
2006,0400000US21,0.0
