Year,Units,Value
2010,Population weighted annual mean levels of PM10 (µg/m³),18.9
2011,Population weighted annual mean levels of PM10 (µg/m³),19.5
2012,Population weighted annual mean levels of PM10 (µg/m³),17.2
2013,Population weighted annual mean levels of PM10 (µg/m³),17.3
2014,Population weighted annual mean levels of PM10 (µg/m³),17.3
2015,Population weighted annual mean levels of PM10 (µg/m³),16.5
2016,Population weighted annual mean levels of PM10 (µg/m³),
2017,Population weighted annual mean levels of PM10 (µg/m³),
2018,Population weighted annual mean levels of PM10 (µg/m³),
