Year,Units,Value
2010,CO<sub>2</sub> emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",322.6
2011,CO<sub>2</sub> emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",302.8
2012,CO<sub>2</sub> emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",302.9
2013,CO<sub>2</sub> emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",307.9
2014,CO<sub>2</sub> emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",287.3
2015,CO<sub>2</sub> emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",283.5
2016,CO<sub>2</sub> emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",279.3
2017,CO<sub>2</sub> emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",272.1
2018,CO<sub>2</sub> emission (without land use, land-use change and forestry) per real GDP (g/EUR (constant 2010))",
2010,CO<sub>2</sub> emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),366.1
2011,CO<sub>2</sub> emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),342.7
2012,CO<sub>2</sub> emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),334.6
2013,CO<sub>2</sub> emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),334.2
2014,CO<sub>2</sub> emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),319.7
2015,CO<sub>2</sub> emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),310.8
2016,CO<sub>2</sub> emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),296.8
2017,CO<sub>2</sub> emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),
2018,CO<sub>2</sub> emissions per gross value added (price adjusted) in manufacturing industries (g/EUR (constant 2010)),
