Year,Units,timeseries,Value
2010,2016,"oda (gross disbursements) for imputed student costs (mn usd, constant prices",815.4
2011,2016,"oda (gross disbursements) for imputed student costs (mn usd, constant prices",801.3
2012,2016,"oda (gross disbursements) for imputed student costs (mn usd, constant prices",819.2
2013,2016,"oda (gross disbursements) for imputed student costs (mn usd, constant prices",780.5
2014,2016,"oda (gross disbursements) for imputed student costs (mn usd, constant prices",845.7
2015,2016,"oda (gross disbursements) for imputed student costs (mn usd, constant prices",947.5
2016,2016,"oda (gross disbursements) for imputed student costs (mn usd, constant prices",1000.3
2017,2016,"oda (gross disbursements) for imputed student costs (mn usd, constant prices",1087.5
2010,2016,"oda (gross disbursements) for scholarships (mn usd, constant prices",158.6
2011,2016,"oda (gross disbursements) for scholarships (mn usd, constant prices",145.5
2012,2016,"oda (gross disbursements) for scholarships (mn usd, constant prices",134.3
2013,2016,"oda (gross disbursements) for scholarships (mn usd, constant prices",111.8
2014,2016,"oda (gross disbursements) for scholarships (mn usd, constant prices",65.5
2015,2016,"oda (gross disbursements) for scholarships (mn usd, constant prices",92.5
2016,2016,"oda (gross disbursements) for scholarships (mn usd, constant prices",82.6
2017,2016,"oda (gross disbursements) for scholarships (mn usd, constant prices",74.4
