Year,GeoCode,Value
2000,,6.18
2001,,5.37
2002,,5.86
2003,,6.07
2004,,6.07
2005,,6.22
2006,,6.67
2007,,6.46
2008,,7.25
2009,,8.08
2010,,8.24
2011,,9.29
2012,,9.22
2013,,9.55
2014,,9.73
2015,,9.73
2016,,10.43
2000,0400000US10,0.75
2001,0400000US10,0.45
2002,0400000US10,0.43
2003,0400000US10,0.46
2004,0400000US10,0.5
2005,0400000US10,0.62
2006,0400000US10,1.25
2007,0400000US10,1.69
2008,0400000US10,1.98
2009,0400000US10,2.55
2010,0400000US10,2.98
2011,0400000US10,2.79
2012,0400000US10,2.57
2013,0400000US10,2.72
2014,0400000US10,2.89
2015,0400000US10,2.82
2016,0400000US10,0.0
2000,0400000US32,7.66
2001,0400000US32,7.39
2002,0400000US32,6.91
2003,0400000US32,5.81
2004,0400000US32,5.64
2005,0400000US32,5.46
2006,0400000US32,5.66
2007,0400000US32,5.72
2008,0400000US32,6.35
2009,0400000US32,8.28
2010,0400000US32,8.65
2011,0400000US32,9.08
2012,0400000US32,9.97
2013,0400000US32,11.22
2014,0400000US32,11.42
2015,0400000US32,13.05
2016,0400000US32,0.0
2000,0400000US16,26.12
2001,0400000US16,20.87
2002,0400000US16,22.8
2003,0400000US16,23.17
2004,0400000US16,22.33
2005,0400000US16,23.93
2006,0400000US16,28.16
2007,0400000US16,23.52
2008,0400000US16,24.7
2009,0400000US16,27.1
2010,0400000US16,25.06
2011,0400000US16,34.11
2012,0400000US16,30.42
2013,0400000US16,26.46
2014,0400000US16,29.75
2015,0400000US16,27.35
2016,0400000US16,0.0
2000,0400000US50,14.5
2001,0400000US50,11.73
2002,0400000US50,15.3
2003,0400000US50,15.92
2004,0400000US50,13.68
2005,0400000US50,15.34
2006,0400000US50,17.78
2007,0400000US50,12.26
2008,0400000US50,19.65
2009,0400000US50,21.79
2010,0400000US50,21.12
2011,0400000US50,20.99
2012,0400000US50,21.76
2013,0400000US50,26.09
2014,0400000US50,25.24
2015,0400000US50,24.89
2016,0400000US50,0.0
2000,0400000US45,5.79
2001,0400000US45,4.56
2002,0400000US45,5.08
2003,0400000US45,6.52
2004,0400000US45,5.75
2005,0400000US45,6.32
2006,0400000US45,5.98
2007,0400000US45,5.84
2008,0400000US45,6.51
2009,0400000US45,7.73
2010,0400000US45,7.64
2011,0400000US45,7.95
2012,0400000US45,8.42
2013,0400000US45,9.1
2014,0400000US45,9.05
2015,0400000US45,8.59
2016,0400000US45,0.0
2000,0400000US17,2.43
2001,0400000US17,2.59
2002,0400000US17,2.85
2003,0400000US17,3.23
2004,0400000US17,3.17
2005,0400000US17,2.61
2006,0400000US17,2.61
2007,0400000US17,3.01
2008,0400000US17,3.77
2009,0400000US17,4.63
2010,0400000US17,4.95
2011,0400000US17,5.05
2012,0400000US17,5.51
2013,0400000US17,5.83
2014,0400000US17,5.92
2015,0400000US17,6.38
2016,0400000US17,0.0
2000,0400000US05,9.48
2001,0400000US05,8.54
2002,0400000US05,9.67
2003,0400000US05,9.77
2004,0400000US05,10.31
2005,0400000US05,10.06
2006,0400000US05,8.98
2007,0400000US05,10.72
2008,0400000US05,11.32
2009,0400000US05,12.49
2010,0400000US05,11.73
2011,0400000US05,11.29
2012,0400000US05,11.06
2013,0400000US05,11.07
2014,0400000US05,10.98
2015,0400000US05,11.53
2016,0400000US05,0.0
2000,0400000US31,6.66
2001,0400000US31,6.64
2002,0400000US31,6.64
2003,0400000US31,6.76
2004,0400000US31,7.59
2005,0400000US31,7.42
2006,0400000US31,7.7
2007,0400000US31,8.37
2008,0400000US31,10.57
2009,0400000US31,11.07
2010,0400000US31,14.87
2011,0400000US31,16.66
2012,0400000US31,15.54
2013,0400000US31,15.62
2014,0400000US31,16.66
2015,0400000US31,18.57
2016,0400000US31,0.0
2000,0400000US18,1.7
2001,0400000US18,1.92
2002,0400000US18,1.93
2003,0400000US18,1.96
2004,0400000US18,1.98
2005,0400000US18,2.15
2006,0400000US18,1.88
2007,0400000US18,2.23
2008,0400000US18,3.35
2009,0400000US18,4.32
2010,0400000US18,4.76
2011,0400000US18,5.13
2012,0400000US18,5.16
2013,0400000US18,5.19
2014,0400000US18,5.3
2015,0400000US18,5.87
2016,0400000US18,0.0
2000,0400000US22,3.13
2001,0400000US22,3.39
2002,0400000US22,3.47
2003,0400000US22,3.82
2004,0400000US22,4.52
2005,0400000US22,3.76
2006,0400000US22,3.53
2007,0400000US22,3.51
2008,0400000US22,2.67
2009,0400000US22,2.91
2010,0400000US22,2.85
2011,0400000US22,2.86
2012,0400000US22,2.87
2013,0400000US22,3.29
2014,0400000US22,3.7
2015,0400000US22,3.45
2016,0400000US22,0.0
2000,0400000US29,1.3
2001,0400000US29,1.81
2002,0400000US29,2.05
2003,0400000US29,1.87
2004,0400000US29,2.36
2005,0400000US29,2.79
2006,0400000US29,2.2
2007,0400000US29,3.06
2008,0400000US29,4.26
2009,0400000US29,4.93
2010,0400000US29,4.9
2011,0400000US29,4.82
2012,0400000US29,4.59
2013,0400000US29,5.11
2014,0400000US29,4.96
2015,0400000US29,5.25
2016,0400000US29,0.0
2000,0400000US41,39.19
2001,0400000US41,34.19
2002,0400000US41,39.42
2003,0400000US41,38.6
2004,0400000US41,38.7
2005,0400000US41,35.51
2006,0400000US41,40.81
2007,0400000US41,37.77
2008,0400000US41,39.92
2009,0400000US41,41.66
2010,0400000US41,40.89
2011,0400000US41,51.73
2012,0400000US41,51.41
2013,0400000US41,46.75
2014,0400000US41,49.16
2015,0400000US41,45.37
2016,0400000US41,0.0
2000,0400000US37,5.39
2001,0400000US37,5.2
2002,0400000US37,5.11
2003,0400000US37,7.33
2004,0400000US37,5.57
2005,0400000US37,5.5
2006,0400000US37,5.33
2007,0400000US37,4.36
2008,0400000US37,6.18
2009,0400000US37,7.02
2010,0400000US37,6.78
2011,0400000US37,7.05
2012,0400000US37,7.28
2013,0400000US37,8.67
2014,0400000US37,7.83
2015,0400000US37,8.02
2016,0400000US37,0.0
2000,0400000US39,2.35
2001,0400000US39,1.73
2002,0400000US39,1.41
2003,0400000US39,1.6
2004,0400000US39,1.67
2005,0400000US39,1.82
2006,0400000US39,1.96
2007,0400000US39,2.03
2008,0400000US39,2.86
2009,0400000US39,3.07
2010,0400000US39,3.1
2011,0400000US39,3.3
2012,0400000US39,3.65
2013,0400000US39,3.96
2014,0400000US39,3.95
2015,0400000US39,3.78
