Year,Units,Value
2010,a) Branches of payment service providers,40130
2011,a) Branches of payment service providers,39643
2012,a) Branches of payment service providers,38173
2013,a) Branches of payment service providers,38062
2014,a) Branches of payment service providers,37197
2015,a) Branches of payment service providers,34216
2016,a) Branches of payment service providers,32171
2017,a) Branches of payment service providers,30304
2018,a) Branches of payment service providers,
2010,b) ATMs of national payment service providers,82477
2011,b) ATMs of national payment service providers,84102
2012,b) ATMs of national payment service providers,82610
2013,b) ATMs of national payment service providers,82761
2014,b) ATMs of national payment service providers,86767
2015,b) ATMs of national payment service providers,86702
2016,b) ATMs of national payment service providers,85950
2017,b) ATMs of national payment service providers,84939
2018,b) ATMs of national payment service providers,
