Year,Units,Value
2010,Persons employed in accommodation,1895
2011,Persons employed in accommodation,1979
2012,Persons employed in accommodation,1989
2013,Persons employed in accommodation,1898
2014,Persons employed in accommodation,2085
2015,Persons employed in accommodation,2173
2016,Persons employed in accommodation,2301
2017,Persons employed in accommodation,
2018,Persons employed in accommodation,
2010,Persons employed in tourism industries,2859
2011,Persons employed in tourism industries,
2012,Persons employed in tourism industries,
2013,Persons employed in tourism industries,
2014,Persons employed in tourism industries,
2015,Persons employed in tourism industries,2919
2016,Persons employed in tourism industries,
2017,Persons employed in tourism industries,
2018,Persons employed in tourism industries,
